seed,name,n,p,p_rec,dom,mesh
900066,car_best_host,1,1.0,0.0,2:cathled-sprint-success,s767506430g0
900066,proc_on_host,1,1.0,0.0,2:cathled-sprint-success,s767506430g0
900067,car_best_host,1,1.0,0.0,2:cathled-sprint-success,s1701875257g0
900067,proc_on_host,1,1.0,0.0,2:cathled-sprint-success,s1701875257g0
900068,car_best_host,3,0.6666666666666666,0.0,5:shove-fight,s871533636g0
900068,proc_on_host,1,0.0,0.0,5:shove-fight,s871533636g0
900069,car_best_host,3,0.3333333333333333,0.0,5:shove-fight,s19148103g0
900069,proc_on_host,1,0.0,0.0,10:proximal-thrash,s19148103g0
900070,car_best_host,3,1.0,1.0,3:light-recovery-success,s401951954g0
900070,proc_on_host,1,1.0,0.0,5:shove-fight,s401951954g0
900071,car_best_host,3,1.0,0.6666666666666666,3:light-recovery-success,s381803629g0
900071,proc_on_host,1,0.0,0.0,5:shove-fight,s381803629g0
900072,car_best_host,3,1.0,1.0,3:light-recovery-success,s441416739g0
900072,proc_on_host,1,0.0,0.0,9:shove-cap,s441416739g0
900073,car_best_host,3,1.0,0.3333333333333333,0:clean-success,s1771697106g0
900073,proc_on_host,1,1.0,0.0,5:shove-fight,s1771697106g0
900074,car_best_host,3,0.6666666666666666,0.3333333333333333,5:shove-fight,s704111850g0
900074,proc_on_host,1,0.0,0.0,9:shove-cap,s704111850g0
900075,car_best_host,1,1.0,0.0,2:cathled-sprint-success,s729849510g0
900075,proc_on_host,1,1.0,0.0,5:shove-fight,s729849510g0
900076,car_best_host,3,0.6666666666666666,0.3333333333333333,5:shove-fight,s160821144g0
900076,proc_on_host,1,0.0,0.0,10:proximal-thrash,s160821144g0
900077,car_best_host,3,0.3333333333333333,0.3333333333333333,5:shove-fight,s1097759322g0
900077,proc_on_host,1,0.0,0.0,9:shove-cap,s1097759322g0
900078,car_best_host,3,1.0,0.0,5:shove-fight,s69864492g0
900078,proc_on_host,1,1.0,1.0,3:light-recovery-success,s69864492g0
900079,car_best_host,3,1.0,0.6666666666666666,3:light-recovery-success,s1678765422g0
900079,proc_on_host,1,0.0,0.0,9:shove-cap,s1678765422g0
900080,car_best_host,3,1.0,1.0,3:light-recovery-success,s1574836522g0
900080,proc_on_host,1,0.0,0.0,9:shove-cap,s1574836522g0
900081,car_best_host,1,1.0,0.0,2:cathled-sprint-success,s1272664565g0
900081,proc_on_host,1,1.0,0.0,2:cathled-sprint-success,s1272664565g0
900082,car_best_host,3,1.0,0.0,5:shove-fight,s1195408531g0
900082,proc_on_host,1,0.0,0.0,9:shove-cap,s1195408531g0
900083,car_best_host,3,1.0,0.6666666666666666,3:light-recovery-success,s164799107g0
900083,proc_on_host,1,0.0,0.0,5:shove-fight,s164799107g0
900084,car_best_host,1,1.0,0.0,2:cathled-sprint-success,s1838896344g0
900084,proc_on_host,1,1.0,0.0,2:cathled-sprint-success,s1838896344g0
900085,car_best_host,3,1.0,1.0,3:light-recovery-success,s1272475282g0
900085,proc_on_host,1,0.0,0.0,9:shove-cap,s1272475282g0
900086,car_best_host,3,1.0,0.6666666666666666,3:light-recovery-success,s2035662364g0
900086,proc_on_host,1,0.0,0.0,10:proximal-thrash,s2035662364g0
900087,car_best_host,3,1.0,0.6666666666666666,3:light-recovery-success,s1020378381g0
900087,proc_on_host,1,0.0,0.0,10:proximal-thrash,s1020378381g0
900088,car_best_host,3,1.0,0.6666666666666666,3:light-recovery-success,s678523767g0
900088,proc_on_host,1,1.0,0.0,2:cathled-sprint-success,s678523767g0
900089,car_best_host,3,0.6666666666666666,0.3333333333333333,5:shove-fight,s501147810g0
900089,proc_on_host,1,0.0,0.0,10:proximal-thrash,s501147810g0
900090,car_best_host,3,0.3333333333333333,0.3333333333333333,5:shove-fight,s1284136373g0
900090,proc_on_host,1,0.0,0.0,7:midpath-thrash,s1284136373g0
900091,car_best_host,3,1.0,0.6666666666666666,3:light-recovery-success,s875903860g0
900091,proc_on_host,1,0.0,0.0,9:shove-cap,s875903860g0
900092,car_best_host,3,1.0,0.3333333333333333,5:shove-fight,s639028767g0
900092,proc_on_host,1,0.0,0.0,5:shove-fight,s639028767g0
900093,car_best_host,3,1.0,0.0,5:shove-fight,s1916065718g0
900093,proc_on_host,1,0.0,0.0,9:shove-cap,s1916065718g0
900094,car_best_host,3,0.6666666666666666,0.3333333333333333,5:shove-fight,s1097265140g0
900094,proc_on_host,1,1.0,0.0,2:cathled-sprint-success,s1097265140g0
900095,car_best_host,1,1.0,0.0,2:cathled-sprint-success,s431543766g0
