png,tag,pid,ep,old_cluster,new_cluster,n_match,success,steps,new_name
D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-08_220413_rcca_carotid_v3/diagnostics/snapshots/explore/RCCA\max_steps\ep014_pid5516_step600_R-1.44_max_steps.png,car_v3a,5516,14,9,9,1,False,600,9:shove-cap
D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/diagnostics/snapshots/explore/RCCA\max_steps\ep001_pid275_step600_R-4.15_max_steps.png,car_v3,275,1,9,9,1,False,600,9:shove-cap
D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/diagnostics/snapshots/explore/RCCA\max_steps\ep002_pid275_step600_R-3.80_max_steps.png,car_v3,275,2,9,9,1,False,600,9:shove-cap
D:/neve/.claude/worktrees/rl_improv_16_resume/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_194618_rcca_procedural_v3c2/diagnostics/snapshots/explore/RCCA\max_steps\ep001_pid388_step600_R-4.27_max_steps.png,v3c2,388,1,9,10,1,False,600,10:proximal-thrash
D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-08_220413_rcca_carotid_v3/diagnostics/snapshots/explore/RCCA\max_steps\ep019_pid5684_step600_R-5.53_max_steps.png,car_v3a,5684,19,9,9,1,False,600,9:shove-cap
D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-17_180209_rcca_carotid_v3_noprivactor/diagnostics/snapshots/explore/RCCA\success\ep004_pid2759_step92_R+5.99_success.png,car_nopriv,2759,4,9,0,1,True,92,0:clean-success
D:/neve/.claude/worktrees/rl_improv_16_resume/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-25_000146_rcca_procedural_v3c3/diagnostics/snapshots/explore/RCCA\max_steps\ep013_pid578_step600_R-3.82_max_steps.png,v3c3,578,13,10,10,1,False,600,10:proximal-thrash
D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-17_180209_rcca_carotid_v3_noprivactor/diagnostics/snapshots/explore/RCCA\max_steps\ep001_pid4356_step600_R-4.09_max_steps.png,car_nopriv,4356,1,10,10,1,False,600,10:proximal-thrash
D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-08_220413_rcca_carotid_v3/diagnostics/snapshots/explore/RCCA\max_steps\ep011_pid5348_step600_R-3.19_max_steps.png,car_v3a,5348,11,10,10,1,False,600,10:proximal-thrash
D:/neve/.claude/worktrees/rl_improv_16_resume/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_194618_rcca_procedural_v3c2/diagnostics/snapshots/explore/RCCA\max_steps\ep038_pid23725_step600_R-4.28_max_steps.png,v3c2,23725,38,10,10,1,False,600,10:proximal-thrash
D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-08_220413_rcca_carotid_v3/diagnostics/snapshots/explore/RCCA\max_steps\ep007_pid5558_step600_R-2.87_max_steps.png,car_v3a,5558,7,10,10,1,False,600,10:proximal-thrash
D:/neve/.claude/worktrees/rl_improv_16_resume/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-25_000146_rcca_procedural_v3c3/diagnostics/snapshots/explore/RCCA\max_steps\ep006_pid73_step600_R-11.68_max_steps.png,v3c3,73,6,10,7,1,False,600,7:midpath-thrash
