tag,win,n,ex_succ,next_succ,prev_succ,med_steps,rec_share,rec_share_of_succ,coil,shove,thrash,near,far,fail_coil,fail_thrash,fail_shove,fail_near
v3c2,2,908.0,58.81057268722467,55.10204081632652,56.12244897959183,68.0,4.955947136563877,6.741573033707865,34.47136563876652,0.6607929515418502,5.616740088105727,0.7709251101321586,0.0,81.28342245989305,13.101604278074866,1.3368983957219251,1.8716577540106951
v3c2,3,762.0,48.031496062992126,50.0,55.10204081632652,600.0,1.968503937007874,2.73224043715847,15.354330708661418,1.4435695538057742,34.120734908136484,1.0498687664041995,0.0,29.545454545454547,64.8989898989899,2.272727272727273,2.0202020202020203
v3c2,4,768.0,47.13541666666667,47.95918367346938,50.0,600.0,1.3020833333333335,1.9337016574585635,5.078125,0.26041666666666663,47.52604166666667,0.13020833333333331,0.0,9.113300492610838,89.4088669950739,0.49261083743842365,0.24630541871921183
v3c2,5,684.0,48.099415204678365,40.816326530612244,47.95918367346938,600.0,1.3157894736842104,2.43161094224924,4.093567251461988,0.29239766081871343,48.24561403508772,0.0,0.0,7.323943661971831,92.11267605633803,0.28169014084507044,0.0
v3c2,6,778.0,46.65809768637532,47.95918367346938,40.816326530612244,600.0,1.0282776349614395,1.6528925619834711,6.169665809768637,0.12853470437017994,47.30077120822622,0.0,0.0,11.325301204819278,87.95180722891565,0.24096385542168677,0.0
v3c2,7,783.0,49.808429118773944,51.02040816326531,47.95918367346938,600.0,1.277139208173691,2.564102564102564,6.257982120051085,0.0,44.18901660280971,0.0,0.0,12.213740458015266,87.78625954198473,0.0,0.0
v3c2,8,695.0,39.71223021582734,37.755102040816325,51.02040816326531,600.0,1.4388489208633095,2.898550724637681,1.870503597122302,0.4316546762589928,58.1294964028777,0.0,0.0,3.1026252983293556,95.94272076372316,0.47732696897374705,0.0
v3c2,9,596.0,41.2751677852349,42.857142857142854,37.755102040816325,600.0,1.174496644295302,2.8455284552845526,1.5100671140939599,0.8389261744966443,56.87919463087249,0.16778523489932887,0.0,2.571428571428571,96.0,1.1428571428571428,0.2857142857142857
v3c2,10,696.0,41.52298850574713,45.91836734693878,42.857142857142854,600.0,0.8620689655172413,2.0761245674740483,1.1494252873563218,0.28735632183908044,57.327586206896555,0.28735632183908044,0.0,1.9656019656019657,97.05159705159704,0.4914004914004914,0.4914004914004914
v3c2,11,701.0,42.65335235378031,43.87755102040816,45.91836734693878,600.0,1.2838801711840229,3.0100334448160537,2.1398002853067046,0.28530670470756064,55.0641940085592,0.28530670470756064,0.0,3.731343283582089,95.27363184079603,0.4975124378109453,0.4975124378109453
v3c2,12,691.0,43.27062228654125,27.55102040816326,43.87755102040816,600.0,1.3024602026049203,2.0066889632107023,0.723589001447178,0.723589001447178,55.28219971056439,0.1447178002894356,0.0,1.2755102040816326,96.42857142857143,1.2755102040816326,0.25510204081632654
v3c3,1,674.0,40.80118694362017,54.08163265306123,25.510204081632654,600.0,11.572700296735905,17.454545454545457,0.44510385756676557,22.997032640949556,29.080118694362017,5.637982195845697,0.0,0.7518796992481203,44.11027568922306,38.095238095238095,9.523809523809524
v3c3,2,742.0,50.40431266846361,53.06122448979592,54.08163265306123,139.0,2.0215633423180592,3.4759358288770055,0.40431266846361186,37.735849056603776,4.986522911051213,6.199460916442049,0.0,0.8152173913043478,10.054347826086957,76.08695652173914,12.5
