utc,update_step,explore_step,alpha,entropy_proxy,clamp_fraction,log_pi_std,log_pi_mean,q1_mean,q1_loss,policy_loss,grad_norm_policy,awac_weight_mean,awac_weight_max,awac_weight_saturation,target_q_mean,log_alpha,kl_to_warmstart,alpha_kl
07-12 08:05:07,235000,493286,0.1300870180130005,0.6576601266860962,0.0634765625,3.675523519515991,-0.6576601266860962,-3.3888864517211914,0.0117554860189557,1.5078530311584473,1.7726759756163524,1.003147840499878,1.3387600183486938,0.0,-3.3630709648132324,-2.0395517349243164,,
07-12 08:11:36,240000,501388,0.3080676198005676,0.9421241879463196,0.0517578125,3.0689425468444824,-0.9421241879463196,-3.402754783630371,0.0144234914332628,2.676243305206299,3.106441451455657,1.0001814365386963,1.246591329574585,0.0,-3.4291138648986816,-1.1774359941482544,,
07-12 08:39:00,245000,505588,0.2941987812519073,1.0411814451217651,0.0478515625,3.2779269218444824,-1.0411814451217651,-3.332221984863281,0.0135477585718035,2.1737563610076904,2.4407637831943765,0.9991766214370728,1.270708441734314,0.0,-3.363881349563598,-1.2234996557235718,,
07-12 08:46:31,250000,516052,0.2726743221282959,1.110292673110962,0.0439453125,2.740809679031372,-1.110292673110962,-3.594330310821533,0.0077540418133139,1.098163366317749,1.1896560747965228,1.0094141960144043,1.6917539834976196,0.0,-3.5539581775665283,-1.299477219581604,,
07-12 08:53:16,255000,528107,0.2823972105979919,0.9043003916740416,0.056640625,3.0167293548583984,-0.9043003916740416,-3.5529725551605225,0.0110196266323328,1.4570598602294922,1.5174372028005216,1.0038684606552124,1.401218295097351,0.0,-3.534971237182617,-1.264440655708313,,
07-12 08:59:54,260000,540910,0.2795829772949219,0.9418959021568298,0.046875,2.5743157863616943,-0.9418959021568298,-3.837794780731201,0.0165664944797754,1.9611974954605105,2.0815278451596533,1.0010299682617188,1.4824419021606443,0.0,-3.837162971496582,-1.2744561433792114,,
07-12 09:07:33,265000,552443,0.2849919199943542,1.0787214040756226,0.05859375,2.7712974548339844,-1.0787214040756226,-3.870173215866089,0.0135105401277542,2.014296293258667,1.8352590429181157,0.998778998851776,1.2718174457550049,0.0,-3.8765621185302734,-1.2552944421768188,,
07-12 09:14:18,270000,562404,0.2966338694095611,1.3074876070022583,0.041015625,2.632488965988159,-1.3074876070022583,-3.761179447174072,0.0105911763384938,1.3594391345977783,1.5922682770566292,1.007755160331726,1.4183751344680786,0.0,-3.75277042388916,-1.215256690979004,,
07-12 09:20:56,275000,571168,0.3219315409660339,0.847710132598877,0.0615234375,3.229735851287842,-0.847710132598877,-4.014753341674805,0.0178601425141096,2.26885986328125,2.2787038388496925,1.000783920288086,1.354286789894104,0.0,-4.033045768737793,-1.1334164142608645,,
07-12 09:27:53,280000,581635,0.3536080718040466,1.1400938034057615,0.05078125,2.831324577331543,-1.1400938034057615,-3.9837217330932617,0.0072578587569296,0.9551389813423156,1.113693019967387,0.995451807975769,1.2779054641723633,0.0,-3.9898557662963863,-1.039566159248352,,
07-12 09:34:01,285000,592336,0.3613692820072174,0.6868391036987305,0.0625,3.442518949508667,-0.6868391036987305,-4.111034393310547,0.0167807340621948,2.209615468978882,2.1986985657255635,1.006603479385376,1.4823626279830933,0.0,-4.090951919555664,-1.017854928970337,,
07-12 09:40:29,290000,598794,0.3528231978416443,0.801338791847229,0.0693359375,3.420562744140625,-0.801338791847229,-4.016368865966797,0.0211369022727012,2.515871524810791,2.7659637452260606,1.005016207695007,1.4587078094482422,0.0,-3.971503257751465,-1.0417882204055786,,
