seq	wall	pid	ep	final_branch	reason	is_clean	gsucc	ret	steps
1237	1783846876.131351	1751	25	RCCA	max_steps	1	0	-1.1776	600
1238	1783846880.252196	1218	50	RCCA	max_steps	1	0	-2.9913	600
1239	1783847066.200831	2235	5	RCCA	success	1	1	4.6240	206
1240	1783847066.200831	2319	7	RCCA	success	1	1	4.3776	173
1241	1783847066.200831	236	71	RCCA	success	1	1	4.8527	79
1242	1783847066.200831	1218	51	RCCA	max_steps	1	0	-2.1274	600
1243	1783847066.200831	1793	24	bridge	max_steps	0	0	-5.6412	600
1244	1783847066.200831	2193	8	RCCA	max_steps	1	0	-1.9511	600
1245	1783847066.200831	2151	8	bridge	max_steps	0	0	-3.0976	600
1246	1783847066.200831	2001	15	RCCA	max_steps	1	0	-1.9317	600
1247	1783847066.200831	2277	5	RVA	max_steps	0	0	-4.9429	600
1248	1783847066.200831	1427	38	bridge	max_steps	0	0	-2.4982	600
1249	1783847066.200831	2066	6	RCCA	max_steps	1	0	-0.7587	600
1250	1783847066.200831	2108	6	RCCA	max_steps	1	0	-0.8565	600
1251	1783847066.200831	1751	26	RVA	max_steps	0	0	-2.9900	600
1252	1783847066.200831	616	67	trunk	max_steps	0	0	-4.2858	600
1253	1783847066.200831	2361	7	RCCA	max_steps	1	0	-3.4856	600
1254	1783847096.448303	1793	25	RCCA	success	1	1	4.6872	39
1255	1783847130.343915	2361	8	RCCA	success	1	1	4.7553	109
1256	1783847132.746592	2108	7	RCCA	success	1	1	4.8230	111
1257	1783847138.233871	1793	26	RCCA	success	1	1	5.1648	77
1258	1783847159.855468	2066	7	RCCA	success	1	1	5.3693	150
1259	1783847171.053048	2277	6	RCCA	success	1	1	3.4619	176
1260	1783847289.974451	2277	7	RCCA	success	0	1	3.1756	209
1261	1783847356.751506	2108	8	RCCA	success	0	1	-2.9756	386
1262	1783847375.178430	2193	9	RVA	max_steps	0	0	-4.0576	600
1263	1783847395.609444	2001	16	bridge	max_steps	0	0	-3.4886	600
1264	1783847395.634109	1751	27	RCCA	max_steps	1	0	-2.4495	600
1265	1783847395.751230	2534	1	RVA	max_steps	0	0	-8.4764	600
1266	1783847401.614691	2151	9	other	max_steps	0	0	-5.5339	600
1267	1783847414.820326	1427	39	RCCA	max_steps	1	0	-2.0067	600
1268	1783847424.502000	2235	6	bridge	max_steps	0	0	-2.1327	600
1269	1783847430.397346	2193	10	RCCA	success	1	1	5.2005	103
1270	1783847439.105952	2361	9	RCCA	max_steps	1	0	-4.1442	600
1271	1783847445.999851	2319	8	RCCA	max_steps	1	0	-1.2287	600
1272	1783847449.190873	2151	10	RCCA	success	1	1	4.4362	91
1273	1783847450.197114	616	68	RCCA	max_steps	1	0	-1.0133	600
1274	1783847474.455602	1427	40	RCCA	success	1	1	4.9050	102
1275	1783847489.202034	616	69	RCCA	success	1	1	4.7472	62
1276	1783847500.436960	2066	8	RCCA	max_steps	1	0	-1.7093	600
1277	1783847500.454003	2235	7	RCCA	success	0	1	3.3005	128
1278	1783847581.847931	2001	17	RCCA	success	0	1	2.6979	350
1279	1783847594.020430	1427	41	RCCA	success	1	1	4.3748	169
1280	1783847613.953278	2319	9	RCCA	success	1	1	3.1137	316
1281	1783847620.147161	1793	27	RCCA	max_steps	1	0	-0.8267	600
1282	1783847632.738800	2066	9	RCCA	success	0	1	1.8410	245
1283	1783847658.267442	2277	8	RCCA	max_steps	1	0	-1.6598	600
1284	1783847670.085883	1218	52	RCCA	max_steps	0	0	-3.3116	600
1285	1783847685.303383	2108	9	RVA	max_steps	0	0	-5.4166	600
1286	1783847717.601008	236	72	RCCA	max_steps	1	0	-0.9667	600
1287	1783847741.587869	1218	53	RCCA	success	1	1	5.1595	142
1288	1783847776.561282	2151	11	RCCA	max_steps	1	0	-6.0736	600
1289	1783847789.723545	616	70	bridge	max_steps	0	0	-6.6530	600
1290	1783847823.137054	2534	2	RCCA	max_steps	1	0	-0.8067	600
1291	1783847851.708776	2361	10	trunk	max_steps	0	0	-10.9297	600
1292	1783847870.148197	2151	12	RCCA	success	0	1	2.9979	148
1293	1783847875.628028	1751	28	RCCA	max_steps	1	0	-0.7503	600
1294	1783847909.439681	1751	29	RCCA	success	1	1	4.5463	74
1295	1783847956.818921	1793	28	RVA	max_steps	0	0	-8.8788	600
1296	1783847973.403786	2001	18	RVA	max_steps	0	0	-4.6232	600
1297	1783847975.141264	2319	10	RCCA	max_steps	1	0	-1.9326	600
1298	1783848028.536119	236	73	RVA	max_steps	0	0	-6.3571	600
1299	1783848028.679163	2193	11	RCCA	max_steps	1	0	-1.1731	600
1300	1783848047.100918	2108	10	RVA	max_steps	0	0	-10.9295	600
1301	1783848064.417486	1218	54	RCCA	max_steps	1	0	-2.0484	600
1302	1783848120.106778	2361	11	RCCA	success	1	1	5.1098	453
1303	1783848184.179175	2319	11	RCCA	success	1	1	4.9064	386
1304	1783848192.162316	2361	12	RCCA	success	1	1	4.5172	156
1305	1783848238.366674	2319	12	RCCA	success	1	1	4.9137	109
1306	1783848249.794406	2235	8	RCCA	max_steps	1	0	-1.2461	600
1307	1783848251.232520	2066	10	RCCA	max_steps	1	0	-0.4957	600
1308	1783848272.351235	2319	13	RCCA	success	1	1	5.2285	58
1309	1783848298.231558	1427	42	RCCA	max_steps	1	0	-2.2329	600
1310	1783848301.924921	2361	13	RCCA	success	0	1	3.9156	199
1311	1783848304.567174	1751	30	RCCA	max_steps	1	0	-1.2914	600
1312	1783848314.076489	2534	3	RCCA	max_steps	0	0	-4.9391	600
1313	1783848316.116198	2235	9	RCCA	success	1	1	4.8730	108
1314	1783848326.388079	2001	19	RCCA	max_steps	1	0	-1.3868	600
1315	1783848328.153533	2277	9	RCCA	max_steps	1	0	-0.6944	600
1316	1783848340.109369	2151	13	RCCA	max_steps	0	0	-3.1215	600
1317	1783848341.281815	2319	14	RCCA	success	1	1	4.7588	144
1318	1783848366.143883	2361	14	RCCA	success	1	1	4.9336	131
1319	1783848389.217294	2235	10	RCCA	success	1	1	5.1147	132
1320	1783848400.578903	1751	31	RCCA	success	1	1	5.0242	121
1321	1783848408.359624	1218	55	RCCA	max_steps	1	0	-2.0940	600
1322	1783848415.877879	2108	11	RCCA	max_steps	1	0	-0.7347	600
1323	1783848426.019553	2193	12	RCCA	max_steps	0	0	-3.2070	600
1324	1783848430.585038	1793	29	RCCA	max_steps	1	0	-0.9865	600
1325	1783848433.193146	2361	15	RCCA	success	1	1	5.0610	129
1326	1783848451.154907	2319	15	RCCA	success	1	1	4.5705	236
1327	1783848457.573263	2235	11	RCCA	success	1	1	4.6542	69
1328	1783848464.009975	2001	20	RCCA	success	0	1	3.7547	236
1329	1783848476.365994	236	74	RCCA	max_steps	1	0	-1.3332	600
1330	1783848481.344923	2319	16	RCCA	success	1	1	4.7402	62
1331	1783848492.752106	2361	16	RCCA	success	1	1	5.0484	115
1332	1783848515.796688	2151	14	RCCA	success	1	1	2.9037	350
