seed,name,n,p,p_rec,dom,mesh
900054,abl_best_host,1,1.0,0.0,1:clean-fast-success,s514338283g0
900054,car_best_host,3,1.0,0.0,5:shove-fight,s514338283g0
900054,tbv2_best_host,3,0.0,0.0,6:near-buckle-fight,s514338283g0
900054,tbv3_ref_host,1,1.0,0.0,6:near-buckle-fight,s514338283g0
900055,abl_best_host,1,1.0,0.0,0:clean-success,s905047548g0
900055,car_best_host,3,1.0,0.6666666666666666,3:light-recovery-success,s905047548g0
900055,tbv2_best_host,3,1.0,0.0,1:clean-fast-success,s905047548g0
900055,tbv3_ref_host,1,1.0,0.0,1:clean-fast-success,s905047548g0
900056,abl_best_host,1,1.0,0.0,1:clean-fast-success,s940613720g0
900056,car_best_host,3,1.0,0.0,5:shove-fight,s940613720g0
900056,tbv2_best_host,3,0.3333333333333333,0.0,5:shove-fight,s940613720g0
900056,tbv3_ref_host,1,1.0,0.0,1:clean-fast-success,s940613720g0
900057,abl_best_host,1,1.0,0.0,1:clean-fast-success,s800887222g0
900057,car_best_host,3,1.0,0.6666666666666666,3:light-recovery-success,s800887222g0
900057,tbv2_best_host,3,0.3333333333333333,0.0,6:near-buckle-fight,s800887222g0
900057,tbv3_ref_host,1,1.0,1.0,3:light-recovery-success,s800887222g0
900058,abl_best_host,1,1.0,0.0,1:clean-fast-success,s289926302g0
900058,car_best_host,3,1.0,0.0,2:cathled-sprint-success,s289926302g0
900058,tbv2_best_host,3,1.0,0.0,6:near-buckle-fight,s289926302g0
900058,tbv3_ref_host,1,1.0,0.0,1:clean-fast-success,s289926302g0
900059,abl_best_host,1,1.0,0.0,1:clean-fast-success,s507949858g0
900059,car_best_host,3,1.0,0.0,0:clean-success,s507949858g0
900059,tbv2_best_host,3,0.0,0.0,6:near-buckle-fight,s507949858g0
900059,tbv3_ref_host,1,1.0,0.0,1:clean-fast-success,s507949858g0
900060,abl_best_host,1,1.0,0.0,1:clean-fast-success,s6654449g0
900060,car_best_host,3,1.0,0.0,2:cathled-sprint-success,s6654449g0
900060,tbv2_best_host,3,1.0,0.0,1:clean-fast-success,s6654449g0
900060,tbv3_ref_host,1,1.0,0.0,1:clean-fast-success,s6654449g0
900061,abl_best_host,1,1.0,0.0,1:clean-fast-success,s1357272110g0
900061,car_best_host,3,0.6666666666666666,0.0,5:shove-fight,s1357272110g0
900061,tbv2_best_host,3,0.3333333333333333,0.0,6:near-buckle-fight,s1357272110g0
900061,tbv3_ref_host,1,1.0,0.0,1:clean-fast-success,s1357272110g0
900062,abl_best_host,1,1.0,0.0,6:near-buckle-fight,s950258454g0
900062,car_best_host,3,1.0,0.3333333333333333,5:shove-fight,s950258454g0
900062,tbv2_best_host,3,0.3333333333333333,0.0,6:near-buckle-fight,s950258454g0
900062,tbv3_ref_host,1,1.0,1.0,3:light-recovery-success,s950258454g0
900063,abl_best_host,1,1.0,0.0,1:clean-fast-success,s2032161815g0
900063,car_best_host,3,1.0,0.3333333333333333,5:shove-fight,s2032161815g0
900063,tbv2_best_host,3,0.6666666666666666,0.3333333333333333,6:near-buckle-fight,s2032161815g0
900063,tbv3_ref_host,1,1.0,0.0,1:clean-fast-success,s2032161815g0
900064,abl_best_host,1,1.0,0.0,1:clean-fast-success,s1795658739g0
900064,car_best_host,3,1.0,0.3333333333333333,5:shove-fight,s1795658739g0
