seed,name,n,p,p_rec,dom,mesh
900069,proc_on_proc,1,0.0,0.0,8:mega-coil,s19148103g1
900070,car_best_on_proc,1,0.0,0.0,6:near-buckle-fight,s401951954g1
900070,proc_on_proc,1,0.0,0.0,8:mega-coil,s401951954g1
900071,car_best_on_proc,1,0.0,0.0,7:midpath-thrash,s381803629g1
900071,proc_on_proc,1,0.0,0.0,8:mega-coil,s381803629g1
900072,car_best_on_proc,1,0.0,0.0,6:near-buckle-fight,s441416739g1
900072,proc_on_proc,1,0.0,0.0,10:proximal-thrash,s441416739g1
900073,car_best_on_proc,1,0.0,0.0,8:mega-coil,s1771697106g0
900073,proc_on_proc,1,0.0,0.0,8:mega-coil,s1771697106g0
900074,car_best_on_proc,1,1.0,0.0,0:clean-success,s704111850g1
900074,proc_on_proc,1,1.0,0.0,2:cathled-sprint-success,s704111850g1
900075,car_best_on_proc,1,1.0,0.0,2:cathled-sprint-success,s729849510g1
900075,proc_on_proc,1,1.0,0.0,2:cathled-sprint-success,s729849510g1
900076,car_best_on_proc,1,0.0,0.0,6:near-buckle-fight,s160821144g1
900076,proc_on_proc,1,0.0,0.0,7:midpath-thrash,s160821144g1
900077,car_best_on_proc,1,1.0,0.0,0:clean-success,s1097759322g1
900077,proc_on_proc,1,1.0,1.0,4:deep-recovery-success,s1097759322g1
900078,car_best_on_proc,1,1.0,0.0,0:clean-success,s69864492g1
900078,proc_on_proc,1,1.0,1.0,4:deep-recovery-success,s69864492g1
900079,car_best_on_proc,1,0.0,0.0,8:mega-coil,s1678765422g0
900079,proc_on_proc,1,0.0,0.0,8:mega-coil,s1678765422g0
900080,car_best_on_proc,1,0.0,0.0,6:near-buckle-fight,s1574836522g1
900080,proc_on_proc,1,0.0,0.0,8:mega-coil,s1574836522g1
900081,car_best_on_proc,1,1.0,0.0,2:cathled-sprint-success,s1272664565g1
900081,proc_on_proc,1,1.0,0.0,2:cathled-sprint-success,s1272664565g1
900082,car_best_on_proc,1,1.0,0.0,1:clean-fast-success,s1195408531g1
900082,proc_on_proc,1,1.0,0.0,2:cathled-sprint-success,s1195408531g1
900083,car_best_on_proc,1,0.0,0.0,6:near-buckle-fight,s164799107g1
900083,proc_on_proc,1,0.0,0.0,8:mega-coil,s164799107g1
900084,car_best_on_proc,1,1.0,0.0,2:cathled-sprint-success,s1838896344g1
900084,proc_on_proc,1,1.0,0.0,2:cathled-sprint-success,s1838896344g1
900085,car_best_on_proc,1,1.0,0.0,0:clean-success,s1272475282g0
900085,proc_on_proc,1,1.0,0.0,2:cathled-sprint-success,s1272475282g0
900086,car_best_on_proc,1,1.0,1.0,4:deep-recovery-success,s2035662364g1
900086,proc_on_proc,1,0.0,0.0,10:proximal-thrash,s2035662364g1
900087,car_best_on_proc,1,0.0,0.0,6:near-buckle-fight,s1020378381g1
900087,proc_on_proc,1,0.0,0.0,8:mega-coil,s1020378381g1
900088,car_best_on_proc,1,1.0,0.0,0:clean-success,s678523767g1
900088,proc_on_proc,1,1.0,1.0,4:deep-recovery-success,s678523767g1
900089,car_best_on_proc,1,0.0,0.0,6:near-buckle-fight,s501147810g1
900089,proc_on_proc,1,0.0,0.0,8:mega-coil,s501147810g1
900090,car_best_on_proc,1,0.0,0.0,6:near-buckle-fight,s1284136373g1
900090,proc_on_proc,1,0.0,0.0,10:proximal-thrash,s1284136373g1
900091,car_best_on_proc,1,1.0,0.0,0:clean-success,s875903860g0
900091,proc_on_proc,1,1.0,0.0,2:cathled-sprint-success,s875903860g0
900092,car_best_on_proc,1,0.0,0.0,8:mega-coil,s639028767g1
900092,proc_on_proc,1,0.0,0.0,8:mega-coil,s639028767g1
900093,car_best_on_proc,1,1.0,0.0,0:clean-success,s1916065718g1
900093,proc_on_proc,1,1.0,1.0,4:deep-recovery-success,s1916065718g1
900094,car_best_on_proc,1,0.0,0.0,7:midpath-thrash,s1097265140g1
900094,proc_on_proc,1,0.0,0.0,8:mega-coil,s1097265140g1
900095,car_best_on_proc,1,1.0,0.0,2:cathled-sprint-success,s431543766g1
900095,proc_on_proc,1,1.0,0.0,2:cathled-sprint-success,s431543766g1
900096,car_best_on_proc,1,0.0,0.0,6:near-buckle-fight,s310660349g1
900096,proc_on_proc,1,0.0,0.0,8:mega-coil,s310660349g1
900097,car_best_on_proc,1,0.0,0.0,6:near-buckle-fight,s1408628064g0
900097,proc_on_proc,1,0.0,0.0,8:mega-coil,s1408628064g0
