name,rep,seed,mesh,T,phase,cname,p_end,p_max,t_pmax,idle_since,push_frac,withdrawn,tip_retreat_max,n_events,n_unrec,lead_end,cath_slack_max,slack_max,loop,file
car_best_on_proc,1,900062,s950258454g1,601,coiled-stuck,6:near-buckle-fight,0.9,0.913,483,181,0.629,58.652,4.598,1,1,-49.714,50.372,48.874,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260921_032713\s900062_s950258454g1_pid493_ep5.npz
proc_on_proc,1,900062,s950258454g1,601,coiled-stuck,8:mega-coil,0.772,0.92,155,194,0.93,119.61,5.04,2,1,-0.192,714.312,714.359,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_083833\s900062_s950258454g1_pid493_ep5.npz
car_best_on_proc,1,900063,s2032161815g1,601,shove-capped,8:mega-coil,0.859,0.915,68,45,0.915,209.19,142.324,1,1,119.45,766.089,646.639,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260921_032713\s900063_s2032161815g1_pid493_ep4.npz
proc_on_proc,1,900063,s2032161815g1,601,shove-capped,8:mega-coil,0.755,0.915,134,128,0.99,35.67,29.915,1,1,0.586,783.138,782.552,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_083833\s900063_s2032161815g1_pid493_ep4.npz
proc_on_proc,1,900064,s1795658739g1,601,deep-recovery,7:midpath-thrash,0.256,0.296,471,395,0.577,115.075,24.142,2,0,32.745,6.06,0.0,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_083833\s900064_s1795658739g1_pid493_ep3.npz
car_best_on_proc,1,900065,s542976952g1,601,stuck-midpath,6:near-buckle-fight,0.778,0.778,195,144,0.895,143.651,12.877,1,1,-35.745,37.802,41.35,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260921_032713\s900065_s542976952g1_pid493_ep2.npz
proc_on_proc,1,900065,s542976952g1,601,coiled-stuck,8:mega-coil,0.648,0.778,213,2,0.928,44.131,28.646,2,1,0.679,773.005,773.016,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_083833\s900065_s542976952g1_pid493_ep2.npz
proc_on_proc,1,900069,s19148103g1,601,coiled-stuck,8:mega-coil,0.671,0.693,83,31,0.96,5.054,10.017,1,1,-0.347,727.892,727.968,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_083833\s900069_s19148103g1_pid534_ep4.npz
car_best_on_proc,1,900070,s401951954g1,601,stuck-midpath,6:near-buckle-fight,0.593,0.607,95,542,0.943,70.482,5.958,1,1,-49.62,22.744,23.885,False,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-09-09_213120_rcca_carotid_v3/checkpoints/eval_anatomies_checkpoint2289002/traj_records/20260921_032713\s900070_s401951954g1_pid534_ep3.npz
proc_on_proc,1,900070,s401951954g1,601,coiled-stuck,8:mega-coil,0.417,0.607,273,66,0.895,104.573,51.213,2,1,0.182,795.173,795.061,True,D:/neve/.claude/worktrees/rl_improv_18_p2/saved/eve_paper/neurovascular/full/mesh_ben/2026-07-22_010917_rcca_procedural_v3c/checkpoints/eval_anatomies_checkpoint252305/traj_records/20260921_083833\s900070_s401951954g1_pid534_ep3.npz
